nces_id,cds_id,fips_code,county_code,District  Name,County Name,school_count,Total Enrollment ,Total Enrollment,enroll_es,enroll_ms,enroll_hs,race_hisp,race_afam,race_white,av,urban,suburban,Rural District,AV Per Student,AV Quintile,frpm_total,FRPM Share,Region Code,Nonwhite share,Black Share,Hispanic  Share,UN_LA,un_la_amount,UN_55,un_55_amount,SAB Unfunded, SAB Unfunded $ ,Bond on 11/2016,Bond $ 11/2016,cds_county,enrollgrowth,enrollgrowth_pct,perschoolpop,Bond Passed 11/2016,Bond Passed $  6/2016,Bond $ 6/2016,Bond Passed 6/2016,Bond Passed $  6/2016,Bond in 2015,Bond $ 2015,Bond Passed 2015,Bond in 2014,Bond $ 2014,Bond Passed 2014,,
691051,10017,6001,1,Alameda County Office of Education,Alameda,12,3931,3931,2337,269,1325,1660,737,724,,0,0,1,,,,,,,,,0,,0,,0,,0,,,,,,,0,,,0,,,,,,,,
601770,61119,6001,1,Alameda Unified,Alameda,23,11020,11020,5769,1670,3581,1876,1067,3238,9949000000,0,1,0,902831,3,3618,0.33,7,0.71,0.1,0.17,0,,0,,0,,0,,1,466,0.044461407,497.59091,,0,,,0,,,,1,179500000,1,,
601860,61127,6001,1,Albany City Unified,Alameda,8,3881,3881,2086,573,1222,652,139,1425,2085000000,0,1,0,537159,2,801,0.21,7,0.64,0.04,0.17,0,,0,,0,,0,,1,876,0.29564631,548.42859,,0,95000000,1,95000000,,,,,,,,
604740,61143,6001,1,Berkeley Unified,Alameda,21,10442,10442,5269,1521,3652,2544,1958,3785,14360000000,1,0,0,1375646,4,4196,0.41,7,0.64,0.2,0.24,0,,0,,0,,0,,1,1055,0.11560377,535.8421,,0,,,0,,,,,,,,
607800,61150,6001,1,Castro Valley Unified,Alameda,17,9361,9361,4781,1436,3144,2166,591,2900,6913000000,0,1,0,738469,3,1969,0.21,7,0.69,0.06,0.23,0,,0,,0,,0,,1,1653,0.21568371,621.13336,,0,123000000,1,123000000,,,,,,,,
600019,75093,6001,1,Dublin Unified,Alameda,12,9151,9151,5687,1332,2132,1236,424,2629,9645000000,0,1,0,1054033,3,779,0.09,7,0.67,0.06,0.14,0,,0,,0,,0,,1,4478,1.1809071,827,,0,283000000,1,283000000,,,,,,,,
612630,61168,6001,1,Emery Unified,Alameda,4,695,695,404,100,191,152,380,74,4046000000,0,1,0,5821742,5,442,0.61,7,0.91,0.57,0.21,0,,0,,0,,0,,1,-234,-0.24375001,242,,0,,,0,,,,,,,,
614400,61176,6001,1,Fremont Unified,Alameda,45,34208,34208,19214,4928,10066,5324,955,4890,35780000000,1,0,0,1046066,3,6152,0.18,7,0.85,0.03,0.16,0,,0,,0,,0,,1,3434,0.11276393,770.15912,,0,,,0,,,,1,650000000,1,,
616740,61192,6001,1,Hayward Unified,Alameda,39,22555,22555,13052,3269,6234,14071,2452,1234,16360000000,1,0,0,725212,3,15699,0.7,7,0.94,0.12,0.61,0,,0,,0,,0,,1,6,0.000269469,601.94592,,0,,,0,,,,1,229000000,1,,
622110,61200,6001,1,Livermore Valley Joint Unified,Alameda,21,13653,13653,7478,2146,4029,4177,207,6873,14800000000,0,1,0,1084131,3,3150,0.23,7,0.48,0.02,0.29,0,,0,,0,,0,,1,840,0.065655775,717.57892,,0,245000000,1,245000000,,,,,,,,
626130,61218,6001,1,Mountain House Elementary,Alameda,2,,22,14,8,0,11,0,8,253200000,0,0,1,11500000,5,15,0.68,7,0.64,0,0.59,0,,0,,0,,0,,1,-22,-0.5,22,,0,,,0,,,,,,,,
626910,61242,6001,1,New Haven Unified,Alameda,15,12459,12459,6456,1809,4194,4672,843,782,9327000000,0,1,0,748605,3,6068,0.48,7,0.93,0.07,0.36,0,,0,,0,,0,,1,-1504,-0.10662886,900.07141,,0,,,0,,,,1,125000000,1,,
627060,61234,6001,1,Newark Unified,Alameda,15,6196,6196,3313,908,1975,3286,336,892,6075000000,0,1,0,980501,3,3409,0.54,7,0.85,0.06,0.51,0,,0,,0,,0,,1,-1280,-0.16899921,484.15384,,0,,,0,,,,,,,,
628050,61259,6001,1,Oakland Unified,Alameda,126,48077,48077,28450,7207,12420,21039,12839,4692,40350000000,1,0,0,839315,3,35556,0.75,7,0.9,0.28,0.43,1,261354,1,1554459,1,"1,815,813",0,,1,-6370,-0.11892316,386.83606,,0,,,0,,,,,,,,
630330,61275,6001,1,Piedmont City Unified,Alameda,9,2706,2706,1422,418,866,160,47,1814,3382000000,0,1,0,1249989,4,18,0.01,7,0.31,0.02,0.05,0,,0,,0,,1,66000000,1,16,0.00608828,377.71429,1,66000000,,,0,,,,1,13500000,0,,
600020,75101,6001,1,Pleasanton Unified,Alameda,18,14768,14768,7463,2402,4903,1520,261,7020,17920000000,1,0,0,1213257,4,846,0.06,7,0.51,0.02,0.1,0,,0,,0,,1,270000000,1,2928,0.24692191,869.76471,1,270000000,,,0,,,,,,,,
634680,61291,6001,1,San Leandro Unified,Alameda,14,8617,8617,4619,1253,2745,4130,1246,832,10050000000,1,0,0,1166112,4,5624,0.65,7,0.9,0.15,0.48,0,,0,,0,,1,104000000,1,991,0.12900287,667.15387,1,104000000,,,0,,,,,,,,
634710,61309,6001,1,San Lorenzo Unified,Alameda,21,12070,12070,6201,1769,4100,6537,1429,1088,6335000000,0,1,0,524887,2,8356,0.68,7,0.91,0.13,0.53,0,,0,,0,,0,,1,1473,0.13619973,646.73682,,0,,,0,,,,,,,,
600021,75119,6001,1,Sunol Glen Unified,Alameda,2,278,278,228,50,0,54,3,135,400100000,0,0,1,1439183,4,18,0.07,7,0.51,0.01,0.23,0,,0,,0,,0,,1,66,0.32512316,269,,0,,,0,,,,,,,,
691058,10025,6003,2,Alpine County Office of Education,Alpine,2,,6,0,0,6,0,0,0,,0,0,1,,,,,,,,,0,,0,,0,,0,,,,,,,0,,,0,,,,,,,,
602070,61333,6003,2,Alpine County Unified,Alpine,3,,83,73,9,1,6,0,40,,0,0,1,,,,,,,,,0,,0,,0,,0,,,,,,,0,,,0,,,,,,,,
691001,10033,6005,3,Amador County Office of Education,Amador,4,209,209,87,66,56,43,0,132,,0,0,0,,,,,,,,,0,,0,,0,,0,,,,,,,0,,,0,,,,,,,,
602450,73981,6005,3,Amador County Unified,Amador,13,3825,3825,1997,548,1280,731,14,2676,4220000000,0,0,0,1103314,3,1601,0.43,6,0.3,0,0.19,0,,0,,0,,0,,3,-1027,-0.21689546,309,,0,,,0,,,,,,,,
603780,61382,6007,4,Bangor Union Elementary,Butte,2,114,114,93,21,0,17,1,92,101900000,0,0,1,893675,3,93,0.82,3,0.23,0.02,0.18,0,,0,,0,,0,,4,-52,-0.31515151,113,,0,,,0,,,,,,,,
605040,61408,6007,4,Biggs Unified,Butte,5,542,542,283,106,153,203,12,302,540300000,0,0,1,996825,3,382,0.73,3,0.46,0.02,0.4,0,,0,,0,,0,,4,-322,-0.38061467,131,,0,,,0,,,,,,,,
691002,10041,6007,4,Butte County Office of Education,Butte,10,1113,1113,428,173,512,224,16,779,,0,0,0,,,,,,,,,0,,0,,0,,0,,,,,,,0,,,0,,,,,,,,
608370,61424,6007,4,Chico Unified,Butte,30,13739,13739,7299,2082,4358,3142,398,8454,9773000000,1,0,0,711315,3,6688,0.48,3,0.38,0.03,0.22,1,3439355,1,449947.19,1,"3,889,302",1,152000000,4,-275,-0.019504929,460.79999,1,152000000,,,0,,,,,,,,
611730,61432,6007,4,Durham Unified,Butte,4,960,960,505,161,294,201,6,706,833400000,0,1,0,868136,3,381,0.39,3,0.28,0.01,0.21,0,,0,,0,,0,,4,-333,-0.25478193,324.66666,,0,,,0,,,,,,,,
613710,61440,6007,4,Feather Falls Union Elementary,Butte,3,,50,14,3,33,11,0,23,39234927,0,0,1,784699,3,32,0.78,3,0.73,0,0.24,0,,0,,0,,0,,4,4,0.10810811,20.5,,0,,,0,,,,,,,,
615480,61457,6007,4,Golden Feather Union Elementary,Butte,4,176,176,90,37,49,32,2,114,259600000,0,0,1,1474956,4,112,0.7,3,0.31,0.02,0.14,0,,0,,0,,0,,4,-104,-0.39543727,53,,0,,,0,,,,,,,,
600051,75507,6007,4,Gridley Unified,Butte,7,2051,2051,1119,291,641,1170,9,695,832200000,0,0,0,405741,1,1534,0.74,3,0.68,0,0.57,0,,0,,0,,0,,4,,,295.14285,,0,,,0,,,,,,,,
623700,61499,6007,4,Manzanita Elementary,Butte,2,284,284,223,61,0,101,0,146,113500000,0,0,1,399670,1,141,0.47,3,0.47,0,0.33,1,228252,0,,1,"228,252",0,,4,59,0.24279836,302,,0,,,0,,,,,,,,
629100,61507,6007,4,Oroville City Elementary,Butte,10,2678,2678,2130,548,0,461,87,1466,3159000000,0,0,0,1179547,4,2029,0.78,3,0.45,0.04,0.17,0,,0,,0,,0,,4,-1058,-0.28978363,324.125,,0,,,0,,,,,,,,
629130,61515,6007,4,Oroville Union High,Butte,6,2272,2272,0,0,2272,461,61,1097,3159000000,0,0,0,1390329,4,1740,0.74,3,0.52,0.02,0.2,0,,0,,0,,0,,4,-173,-0.06827151,472.20001,,0,,,0,,,,,,,,
629540,61523,6007,4,Palermo Union Elementary,Butte,8,1275,1275,1011,264,0,460,10,528,378400000,0,0,0,296774,1,1063,0.82,3,0.59,0.01,0.36,0,,0,,0,,0,,4,-61,-0.044787079,216.83333,,0,,,0,,,,,,,,
629820,61531,6007,4,Paradise Unified,Butte,17,4265,4265,2283,643,1339,526,28,3264,2783000000,0,0,0,652577,2,2620,0.61,3,0.23,0.01,0.12,0,,0,,0,,0,,4,-1405,-0.24788286,284.20001,,0,,,0,,,,,,,,
630520,73379,6007,4,Pioneer Union Elementary,Butte,3,,74,51,23,0,12,0,43,151400000,0,0,1,2046298,5,68,0.99,3,0.45,0,0.26,0,,0,,0,,0,,4,-92,-0.5714286,69,,0,,,0,,,,,,,,
639180,61549,6007,4,Thermalito Union Elementary,Butte,7,1409,1409,1128,281,0,194,35,635,441000000,0,0,0,312991,1,1212,0.89,3,0.55,0.03,0.14,0,,0,,0,,0,,4,-221,-0.13987342,226.5,,0,,,0,,,,,,,,
605940,61556,6009,5,Bret Harte Union High,Calaveras,4,723,723,0,0,723,142,5,516,3483000000,0,0,1,4817750,5,282,0.39,6,0.27,0,0.18,0,,0,,0,,0,,5,-209,-0.22400858,241.33333,,0,,,0,,,,,,,,
691003,10058,6009,5,Calaveras County Office of Education,Calaveras,6,562,562,193,88,281,86,7,402,,0,0,1,,,,,,,,,0,,0,,0,,0,,,,,,,0,,,0,,,,,,,,
606870,61564,6009,5,Calaveras Unified,Calaveras,12,3079,3079,1540,469,1070,515,31,2310,2042000000,0,0,1,663148,2,1613,0.51,6,0.24,0.01,0.16,0,,0,,0,,0,,5,-722,-0.18704663,261.5,,0,,,0,,,,,,,,
